adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget
False,"[18, 10749]",75900,en,My Week with Marilyn,14.608,2011-11-23,My Week with Marilyn,6.689,1236,35100000.0,"['The Weinstein Company', 'BBC Film', 'Trademark Films', 'Lipsync Productions']",6400000.0
False,"[10751, 14, 35, 10770, 28]",34204,en,Return to Halloweentown,19.294,2006-10-20,Return to Halloweentown,6.7,584,0.0,['Just Singer Entertainment'],0.0
False,"[18, 80, 53]",2001,en,We Own the Night,24.349,2007-10-12,We Own the Night,6.689,1290,55033767.0,"['2929 Productions', 'Nick Wechsler Productions']",21000000.0
False,"[27, 9648, 53]",882598,en,Smile,66.334,2022-09-23,Smile,6.688,2639,216100000.0,"['Paramount Players', 'Temple Hill Entertainment']",17000000.0
False,"[35, 10751, 18, 10770]",81440,en,"Good Luck Charlie, It's Christmas!",18.619,2011-12-02,"Good Luck Charlie, It's Christmas!",6.688,398,0.0,['Salty Pictures'],0.0
False,[35],11455,en,Up in Smoke,19.374,1978-05-16,Up in Smoke,6.688,525,41590893.0,['Paramount'],0.0
False,"[35, 18, 10751, 10749]",11130,en,The Princess Diaries 2: Royal Engagement,42.863,2004-08-06,The Princess Diaries 2: Royal Engagement,6.688,3100,134734481.0,"['BrownHouse Productions', 'Walt Disney Pictures']",40000000.0
False,"[18, 36, 10752]",2016,fr,Indigènes,13.464,2006-09-27,Days of Glory,6.692,356,22963701.0,"['Tessalit Productions', 'France 2 Cinéma', 'France 3 Cinéma', 'StudioCanal', 'SCOPE Invest', 'Tassili Films', 'Versus Production', 'Kissfilms', 'Taza Productions', 'La Petite Reine']",14500000.0
False,"[35, 18]",1552,en,Parenthood,25.163,1989-07-31,Parenthood,6.688,597,126297830.0,"['Universal Pictures', 'Imagine Entertainment']",20000000.0
False,"[18, 35]",435126,es,Perfectos desconocidos,12.301,2017-12-01,Perfect Strangers,6.687,619,0.0,"['Nadie es Perfecto', 'Mediaset España', 'Pokeepsie Films', 'Movistar+', 'Medusa Film', 'Telecinco Cinema']",0.0
False,"[10749, 10752, 18]",340101,en,Their Finest,16.576,2017-02-19,Their Finest,6.7,388,3603484.0,"['BBC Film', 'HanWay Films', 'Number 9 Films', 'Filmgate Films', 'Ripken Productions', 'Pinewood Pictures', 'Wildgaze Films', 'Film i Väst', 'EuropaCorp']",11795877.0
False,[35],250235,it,Tutta colpa di Freud,9.093,2014-01-23,Tutta colpa di Freud,6.687,995,0.0,"['Medusa Film', 'Lotus Production']",0.0
False,[18],27585,en,Rabbit Hole,13.381,2010-12-16,Rabbit Hole,6.687,556,5144717.0,"['Olympus Pictures', 'OddLot Entertainment', 'Blossom Films']",5000000.0
False,"[28, 12, 878, 53]",135397,en,Jurassic World,93.923,2015-06-06,Jurassic World,6.685,19812,1671537444.0,"['Amblin Entertainment', 'Universal Pictures']",150000000.0
False,"[12, 16, 35, 10751]",21385,en,"Mickey, Donald, Goofy: The Three Musketeers",40.37,2004-08-04,"Mickey, Donald, Goofy: The Three Musketeers",6.686,864,0.0,"['Disney Television Animation', 'DisneyToon Studios', 'Walt Disney Pictures']",0.0
False,"[28, 18, 36]",2669,en,The Bounty,21.65,1984-05-04,The Bounty,6.686,491,8613462.0,['Dino De Laurentiis Company'],25000000.0
False,"[18, 36, 53, 28]",401200,en,Kursk,34.926,2018-11-07,Kursk,6.685,549,0.0,"['Belga Productions', 'VIA EST']",20000000.0
False,"[18, 36]",347026,en,A United Kingdom,16.663,2016-11-25,A United Kingdom,6.685,490,13819139.0,"['Pathé', 'Yoruba Saxon Productions', 'Harbinger Pictures', 'Perfect Weekend', 'Film United']",14000000.0
False,"[14, 27]",46146,nb,Trolljegeren,22.705,2010-10-29,Troll Hunter,6.685,1498,4159678.0,"['Filmkameratene', 'FilmFondet Fuzz', 'SF Norge']",3500000.0
False,[27],11838,ja,呪怨,31.933,2002-10-18,Ju-on: The Grudge,6.685,729,3657876.0,"['Oz Company', 'Xanadeux Company', 'Pioneer LDC', 'Nikkatsu Corporation']",3500000.0
False,"[35, 80]",10729,en,Quick Change,19.319,1990-07-13,Quick Change,6.685,333,15260154.0,"['Devoted Productions', 'Warner Bros. Pictures']",15000000.0
False,"[12, 28, 53, 878]",9659,en,Mad Max,54.787,1979-04-12,Mad Max,6.685,4066,100000000.0,"['Kennedy Miller Productions', 'Crossroads', 'Mad Max Films', 'American International Pictures']",350000.0
False,"[10402, 18, 10749]",8328,en,Step Up 2: The Streets,33.735,2008-02-14,Step Up 2: The Streets,6.685,2209,150816700.0,"['Touchstone Pictures', 'Summit Entertainment', 'Offspring Entertainment', 'Walt Disney Studios']",23000000.0
False,"[27, 9648, 53]",3021,en,1408,46.434,2007-06-22,1408,6.685,4195,133000000.0,"['Dimension Films', 'di Bonaventura Pictures']",25000000.0
False,"[35, 18, 10749]",906221,en,Magic Mike's Last Dance,27.888,2023-02-09,Magic Mike's Last Dance,6.684,415,52000000.0,"['Warner Bros. Pictures', 'Nick Wechsler Productions', 'Free Association']",45000000.0
False,[35],190880,fr,"Les Garçons et Guillaume, à table !",7.387,2013-11-20,"Me, Myself and Mum",6.684,638,0.0,"['LGM Productions', 'Rectangle Productions', 'Gaumont', 'Gaumont Distribution', 'France 3 Cinéma']",10735974.0
False,"[35, 878]",13820,en,Repo Man,20.449,1984-02-20,Repo Man,6.684,550,2300000.0,"['Universal Pictures', 'Edge City']",1500000.0
False,"[12, 14, 16, 878, 10751]",12599,ja,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,31.351,1999-07-17,Pokémon the Movie 2000,6.684,805,163700000.0,"['Nintendo', 'OLM', ""Pikachu Project '99"", 'Shogakukan', 'TV Tokyo', 'GAME FREAK', 'Shogakukan Production', 'East Japan Marketing & Communications', 'Tomy', 'Creatures']",30000000.0
False,"[18, 36]",1887,en,Marie Antoinette,28.115,2006-05-24,Marie Antoinette,6.687,2584,60900000.0,"['Pricel', 'Columbia Pictures', 'TFC', 'American Zoetrope']",40000000.0
