adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[37, 80, 28, 12]",11967,en,28.867,1988-02-17,Young Guns,6.652,855,44700000.0,"['Morgan Creek Entertainment', '20th Century Fox']",13000000.0,1988,2,4,Winter,0.29082774049217003
False,"[35, 10751, 14]",10719,en,36.631,2003-10-09,Elf,6.651,3839,228500000.0,"['New Line Cinema', 'Guy Walks into a Bar Productions']",32000000.0,2003,10,3,Fall,0.1400437636761488
False,"[18, 53]",83686,en,13.842,2012-09-07,The Words,6.651,1122,13231461.0,"['Also Known As Pictures', 'Animus Films', 'Benaroya Pictures', 'Serena Films', 'Waterfall Media', 'Rose Pictures']",6000000.0,2012,9,2,Fall,0.45346466274586006
False,"[18, 53]",9357,en,23.339,2002-08-21,One Hour Photo,6.651,1619,52223306.0,"['Fox Searchlight Pictures', 'Catch 23 Entertainment', 'Killer Films', 'Laughlin Park Pictures']",12000000.0,2002,8,2,Summer,0.22978246532304944
False,"[18, 53]",1957,en,20.326,2002-05-21,Enough,6.651,1082,51800000.0,['Winkler Films'],38000000.0,2002,5,2,Spring,0.7335907335907336
False,"[28, 53]",10135,en,76.985,1989-05-19,Road House,6.656,1063,30100000.0,"['United Artists', 'Star Partners II Ltd.', 'Silver Pictures']",15000000.0,1989,5,2,Spring,0.4983388704318937
False,"[18, 35, 80]",9291,en,47.446,2005-05-27,The Longest Yard,6.648,3204,190300000.0,"['Callahan Filmworks', 'Paramount', 'MTV Films', 'Columbia Pictures', 'Happy Madison Productions']",82000000.0,2005,5,3,Spring,0.43089858118759855
False,"[14, 35, 10751]",4244,en,34.105,2000-07-07,The Kid,6.648,924,110317580.0,"['Walt Disney Pictures', 'Chester Films Inc.', 'Junction']",65000000.0,2000,7,3,Summer,0.5892079938664354
False,"[35, 18, 10749]",157386,en,27.48,2013-08-02,The Spectacular Now,6.647,2772,6854611.0,"['Global Produce', '21 Laps Entertainment', 'Andrew Lauren Productions']",2500000.0,2013,8,3,Summer,0.36471799785574993
False,"[80, 18, 53]",7457,en,24.8,2006-01-27,Alpha Dog,6.647,1313,32400000.0,"['A-Mark Entertainment', 'Universal Pictures', 'Sidney Kimmel Entertainment', 'Capitol Films', 'VIP 2 Medienfonds']",9500000.0,2006,1,3,Winter,0.2932098765432099
False,"[28, 53, 80]",1948,en,40.297,2006-08-31,Crank,6.647,3564,42900000.0,"['Lakeshore Entertainment', 'RadicalMedia', 'GreeneStreet Films', 'Lionsgate']",12000000.0,2006,8,3,Summer,0.27972027972027974
False,"[18, 12, 10749]",290512,en,38.708,2017-10-05,The Mountain Between Us,6.646,2271,62832209.0,"['Chernin Entertainment', '20th Century Fox', 'Fox 2000 Pictures']",35000000.0,2017,10,3,Fall,0.5570391453211521
False,"[27, 53]",238636,en,64.215,2014-07-17,The Purge: Anarchy,6.646,6202,111928365.0,"['Why Not Productions', 'Platinum Dunes', 'Blumhouse Productions', '5150 Action', 'Universal Pictures']",9000000.0,2014,7,2,Summer,0.08040857203623049
False,"[27, 10749]",201085,en,26.121,2015-10-13,Crimson Peak,6.646,4766,74700000.0,"['Double Dare You Productions', 'Legendary Pictures', 'Universal Pictures']",55000000.0,2015,10,2,Fall,0.7362784471218207
False,"[10751, 35]",60307,en,32.845,2011-03-25,Diary of a Wimpy Kid: Rodrick Rules,6.646,1073,72526996.0,"['Color Force', 'Dune Entertainment', 'Fox 2000 Pictures']",21000000.0,2011,3,2,Spring,0.28954735695933137
False,"[35, 18]",4944,en,26.675,2008-09-05,Burn After Reading,6.646,4475,163700000.0,"['Focus Features', 'StudioCanal', 'Relativity Media', 'Working Title Films', 'Mike Zoss Productions']",37000000.0,2008,9,2,Fall,0.22602321319486865
False,"[35, 18, 10749]",1826,fr,14.238,2005-06-15,Russian Dolls,6.646,649,23727301.0,"['StudioCanal', 'TPS Cinéma', 'Lunar Films', 'Ce Qui Me Meut Motion Pictures', 'Canal+', 'France 2 Cinéma']",13000000.0,2005,6,3,Summer,0.5478920674542798
False,"[18, 12]",417466,es,20.57,2019-08-15,Monos,6.645,363,1929915.0,"['Mutante Cine', 'Campo Cine', 'Snowglobe', 'Stela Cine', 'Le Pacte', 'Bord Cadre Films', 'CounterNarrative Films', 'Dynamo', 'Film i Väst', 'Lemming Film', 'Pando Producciones', 'PANDORA FILM Produktion', 'Dago García Producciones']",1800000.0,2019,8,2,Summer,0.9326835637838973
